label,p0_x,p0_y,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p13_x,p13_y,p14_x,p14_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p18_x,p18_y,p19_x,p19_y,p20_x,p20_y
fist,0.0,0.0,-0.04861384630203247,-0.010567009449005127,-0.098568856716156,-0.03638070821762085,-0.13214588165283203,-0.05755114555358887,-0.10969215631484985,-0.07636603713035583,-0.0923568606376648,-0.1626095473766327,-0.10183817148208618,-0.11440250277519226,-0.09056997299194336,-0.0741787850856781,-0.08484208583831787,-0.07659614086151123,-0.057705819606781006,-0.17784208059310913,-0.06606060266494751,-0.11210405826568604,-0.05767899751663208,-0.06914404034614563,-0.05398911237716675,-0.0808233916759491,-0.020205795764923096,-0.17168426513671875,-0.02883768081665039,-0.10454922914505005,-0.025923609733581543,-0.06559616327285767,-0.02242302894592285,-0.0758148729801178,0.014676570892333984,-0.1539812982082367,0.007639646530151367,-0.10006937384605408,0.00502246618270874,-0.06918349862098694,0.006063580513000488,-0.07351207733154297
fist,0.0,0.0,-0.04911106824874878,-0.010670721530914307,-0.0992896556854248,-0.035828590393066406,-0.13206958770751953,-0.055033326148986816,-0.10872417688369751,-0.07256069779396057,-0.09180432558059692,-0.1633148193359375,-0.10333335399627686,-0.11415863037109375,-0.09168046712875366,-0.07317131757736206,-0.08512938022613525,-0.07492148876190186,-0.056711435317993164,-0.17807242274284363,-0.06689399480819702,-0.11057546734809875,-0.05862081050872803,-0.06773921847343445,-0.05452054738998413,-0.07912182807922363,-0.0191614031791687,-0.17099899053573608,-0.029532968997955322,-0.10272476077079773,-0.026692628860473633,-0.06467846035957336,-0.022933363914489746,-0.07482048869132996,0.015289664268493652,-0.15237373113632202,0.006901144981384277,-0.09737038612365723,0.004253268241882324,-0.06684324145317078,0.005515992641448975,-0.07081684470176697
fist,0.0,0.0,-0.04905891418457031,-0.010962724685668945,-0.09983950853347778,-0.0368228554725647,-0.13177376985549927,-0.055081844329833984,-0.10808145999908447,-0.06923723220825195,-0.09204363822937012,-0.1629745066165924,-0.10321921110153198,-0.11278977990150452,-0.09192639589309692,-0.07140690088272095,-0.08543753623962402,-0.0727575421333313,-0.05640363693237305,-0.1775834560394287,-0.06683653593063354,-0.10896265506744385,-0.059437453746795654,-0.06589439511299133,-0.055589497089385986,-0.07717719674110413,-0.01848238706588745,-0.16997754573822021,-0.0290372371673584,-0.10027894377708435,-0.02680337429046631,-0.06184619665145874,-0.02319478988647461,-0.07172855734825134,0.01624608039855957,-0.1509760618209839,0.007733643054962158,-0.09558171033859253,0.004349648952484131,-0.06540313363075256,0.005031287670135498,-0.06956732273101807
fist,0.0,0.0,-0.04886186122894287,-0.010466694831848145,-0.09923797845840454,-0.03540241718292236,-0.13212311267852783,-0.05280101299285889,-0.10823225975036621,-0.06643667817115784,-0.09129738807678223,-0.16224965453147888,-0.10241895914077759,-0.11183559894561768,-0.09281545877456665,-0.07168591022491455,-0.08691996335983276,-0.07431292533874512,-0.05548661947250366,-0.17614394426345825,-0.06623214483261108,-0.10661756992340088,-0.05999666452407837,-0.06520920991897583,-0.0562819242477417,-0.07764145731925964,-0.017699003219604492,-0.1677342653274536,-0.02885335683822632,-0.09653562307357788,-0.027009189128875732,-0.060043394565582275,-0.023573875427246094,-0.0713881254196167,0.016756296157836914,-0.14792943000793457,0.007823288440704346,-0.08935275673866272,0.004361927509307861,-0.06062006950378418,0.004872322082519531,-0.06645888090133667
fist,0.0,0.0,-0.048858046531677246,-0.01001274585723877,-0.09875345230102539,-0.033493638038635254,-0.1311739683151245,-0.05037659406661987,-0.10764789581298828,-0.064551442861557,-0.09107106924057007,-0.15973317623138428,-0.10170435905456543,-0.10948681831359863,-0.0923539400100708,-0.06977906823158264,-0.08605241775512695,-0.07078313827514648,-0.054910361766815186,-0.17364031076431274,-0.0653921365737915,-0.10346964001655579,-0.059497714042663574,-0.06234264373779297,-0.05545949935913086,-0.07360827922821045,-0.017059385776519775,-0.16532745957374573,-0.027851581573486328,-0.09351405501365662,-0.0265234112739563,-0.05749458074569702,-0.02298283576965332,-0.06789419054985046,0.01707911491394043,-0.14526087045669556,0.008926451206207275,-0.08627629280090332,0.005078375339508057,-0.05744063854217529,0.005467772483825684,-0.062411367893218994
fist,0.0,0.0,-0.04885268211364746,-0.010287106037139893,-0.09829074144363403,-0.03315550088882446,-0.1307395100593567,-0.04925471544265747,-0.10688984394073486,-0.0650099515914917,-0.09054887294769287,-0.16087421774864197,-0.10144919157028198,-0.10912713408470154,-0.09156769514083862,-0.06942406296730042,-0.08530795574188232,-0.07236745953559875,-0.05458348989486694,-0.1744568943977356,-0.06516015529632568,-0.10358276963233948,-0.05855375528335571,-0.06198090314865112,-0.05439215898513794,-0.07460248470306396,-0.016825854778289795,-0.16585558652877808,-0.027663052082061768,-0.09423288702964783,-0.02598661184310913,-0.05776965618133545,-0.022150397300720215,-0.06882220506668091,0.01722818613052368,-0.14557871222496033,0.008874058723449707,-0.0873250663280487,0.004640519618988037,-0.05800199508666992,0.005130410194396973,-0.06284433603286743
fist,0.0,0.0,-0.05293852090835571,-0.010370612144470215,-0.10545617341995239,-0.033377885818481445,-0.13984036445617676,-0.05021125078201294,-0.11598789691925049,-0.06253325939178467,-0.09589892625808716,-0.1569422483444214,-0.10953593254089355,-0.10438743233680725,-0.09804630279541016,-0.06541231274604797,-0.0907278060913086,-0.06760081648826599,-0.0606614351272583,-0.17089909315109253,-0.07352882623672485,-0.09898978471755981,-0.06482934951782227,-0.058427274227142334,-0.05907142162322998,-0.07059773802757263,-0.0231778621673584,-0.16307857632637024,-0.03582954406738281,-0.09199804067611694,-0.032604992389678955,-0.05562978982925415,-0.026969969272613525,-0.06558135151863098,0.011466562747955322,-0.14364156126976013,0.0018784403800964355,-0.08813220262527466,-0.0013350248336791992,-0.059269070625305176,0.0006523728370666504,-0.06291389465332031
fist,0.0,0.0,-0.05397212505340576,-0.00543743371963501,-0.10172265768051147,-0.009714186191558838,-0.13196992874145508,0.002703070640563965,-0.12143301963806152,0.019604623317718506,-0.08271867036819458,-0.10072392225265503,-0.10368287563323975,-0.016104936599731445,-0.08873742818832397,0.006336867809295654,-0.07781845331192017,-0.009141862392425537,-0.04354739189147949,-0.09331277012825012,-0.06965100765228271,0.0036772489547729492,-0.060818374156951904,0.016495168209075928,-0.05344128608703613,-0.009783029556274414,-0.006994664669036865,-0.06947159767150879,-0.032350778579711914,0.01808798313140869,-0.029287219047546387,0.026810169219970703,-0.021539926528930664,0.002661287784576416,0.023513972759246826,-0.0417783260345459,0.00524747371673584,0.021556735038757324,0.003741741180419922,0.027140676975250244,0.009115517139434814,0.009612619876861572
fist,0.0,0.0,-0.057145893573760986,-0.0051038265228271484,-0.10611021518707275,-0.0063037872314453125,-0.13181030750274658,0.01574122905731201,-0.11701560020446777,0.037055015563964844,-0.08186525106430054,-0.08846604824066162,-0.1029360294342041,-0.004100799560546875,-0.08874911069869995,0.01602262258529663,-0.07764780521392822,0.0005041360855102539,-0.041393935680389404,-0.08020848035812378,-0.0667528510093689,0.01587510108947754,-0.05761730670928955,0.027335405349731445,-0.04991030693054199,0.0021158456802368164,-0.0039827823638916016,-0.05590161681175232,-0.02915114164352417,0.03157907724380493,-0.0264662504196167,0.038938939571380615,-0.020153343677520752,0.013626694679260254,0.026125609874725342,-0.02773529291152954,0.0065329670906066895,0.033278703689575195,0.005276203155517578,0.035385191440582275,0.011036992073059082,0.014847338199615479
fist,0.0,0.0,-0.056634604930877686,-0.002233177423477173,-0.10387641191482544,-0.001232922077178955,-0.12700551748275757,0.021769404411315918,-0.11421358585357666,0.04481935501098633,-0.07839721441268921,-0.07489192485809326,-0.0965166687965393,0.00946110486984253,-0.0849071741104126,0.029001891613006592,-0.07652395963668823,0.012296438217163086,-0.03734046220779419,-0.06691348552703857,-0.06214195489883423,0.028520047664642334,-0.05422300100326538,0.040371477603912354,-0.04765361547470093,0.014429092407226562,0.00022369623184204102,-0.044599175453186035,-0.02482062578201294,0.04242950677871704,-0.023193717002868652,0.05074411630630493,-0.017809689044952393,0.025126159191131592,0.030131936073303223,-0.018636584281921387,0.010712265968322754,0.04386502504348755,0.008181869983673096,0.0495031476020813,0.012663662433624268,0.031910240650177
